id,name,brand_id,year,fuel,price
1,R 100 S   (1976-1979),7,1976,2,10670
2,R 100 S   (1976-1979),7,1977,2,4445
3,R 100 RT   (1978-1996),7,1978,2,8341
4,R 100 S   (1976-1979),7,1978,2,9594
5,R 100 RT   (1978-1996),7,1979,2,7213
6,R 100 S   (1976-1979),7,1979,2,10913
7,R 100 RT   (1978-1996),7,1980,2,6334
8,R 100 RT   (1978-1996),7,1981,2,4731
9,R 100 RT   (1978-1996),7,1982,2,10027
10,K 100   (1983-1994),7,1983,2,8839
11,R 100 RT   (1978-1996),7,1983,2,6343
12,F 650   (1984-1996),7,1984,2,5226
13,K 100   (1983-1994),7,1984,2,6289
14,K 100 RS   (1984-1994),7,1984,2,8711
15,K 100 RS Style   (1984),7,1984,2,1925
16,K 100 RT   (1984-1993),7,1984,2,5781
17,K 75   (1984-1996),7,1984,2,8668
18,R 100 RT   (1978-1996),7,1984,2,1743
19,R 80 ST   (1984),7,1984,2,2934
20,F 650   (1984-1996),7,1985,2,5745
21,K 100   (1983-1994),7,1985,2,10709
22,K 100 RS   (1984-1994),7,1985,2,9488
23,K 100 RT   (1984-1993),7,1985,2,9968
24,K 75   (1984-1996),7,1985,2,9338
25,R 100 RT   (1978-1996),7,1985,2,6390
26,F 650   (1984-1996),7,1986,2,4531
27,K 100   (1983-1994),7,1986,2,7662
28,K 100 LT   (1986-1994),7,1986,2,4520
29,K 100 RS   (1984-1994),7,1986,2,8727
30,K 100 RS Motorsport   (1986-1988),7,1986,2,3382
31,K 100 RT   (1984-1993),7,1986,2,5016
32,K 75   (1984-1996),7,1986,2,9741
33,K 75 RT   (1986-1994),7,1986,2,6489
34,K 75 S Special   (1986-1988),7,1986,2,3147
35,K 750   (1986-1999),7,1986,2,4060
36,R 100 RT   (1978-1996),7,1986,2,5776
37,R 80 GS   (1986-1992),7,1986,2,4142
38,F 650   (1984-1996),7,1987,2,10889
39,K 100   (1983-1994),7,1987,2,2783
40,K 100 LT   (1986-1994),7,1987,2,7667
41,K 100 RS   (1984-1994),7,1987,2,10269
42,K 100 RS Motorsport   (1986-1988),7,1987,2,6134
43,K 100 RT   (1984-1993),7,1987,2,10241
44,K 75   (1984-1996),7,1987,2,8285
45,K 75 RT   (1986-1994),7,1987,2,4901
46,K 75 S   (1987-1996),7,1987,2,9237
47,K 75 S Special   (1986-1988),7,1987,2,6040
48,K 750   (1986-1999),7,1987,2,4235
49,R 100 RS   (1987-1995),7,1987,2,9930
50,R 100 RT   (1978-1996),7,1987,2,5983
51,R 80 GS   (1986-1992),7,1987,2,3322
52,F 650   (1984-1996),7,1988,2,8153
53,K 100   (1983-1994),7,1988,2,5513
54,K 100 LT   (1986-1994),7,1988,2,8543
55,K 100 RS   (1984-1994),7,1988,2,5511
56,K 100 RS ABS   (1988-1993),7,1988,2,7608
57,K 100 RS Motorsport   (1986-1988),7,1988,2,10499
58,K 100 RT   (1984-1993),7,1988,2,10172
59,K 75   (1984-1996),7,1988,2,5777
60,K 75 C   (1988-1989),7,1988,2,6339
61,K 75 Mad Max   (1988),7,1988,2,10909
62,K 75 RT   (1986-1994),7,1988,2,6722
63,K 75 S   (1987-1996),7,1988,2,4497
64,K 75 S Special   (1986-1988),7,1988,2,9142
65,K 750   (1986-1999),7,1988,2,6467
66,R 100 GS   (1988-1993),7,1988,2,10374
67,R 100 RS   (1987-1995),7,1988,2,3451
68,R 100 RT   (1978-1996),7,1988,2,9149
69,R 80 GS   (1986-1992),7,1988,2,5260
70,F 650   (1984-1996),7,1989,2,5499
71,K 1   (1989-1994),7,1989,2,1554
72,K 100   (1983-1994),7,1989,2,4748
73,K 100 LT   (1986-1994),7,1989,2,9597
74,K 100 RS   (1984-1994),7,1989,2,5838
75,K 100 RS ABS   (1988-1993),7,1989,2,2850
76,K 100 RS Baviera   (1989),7,1989,2,9366
77,K 100 RT   (1984-1993),7,1989,2,10348
78,K 75   (1984-1996),7,1989,2,9870
79,K 75 C   (1988-1989),7,1989,2,9508
80,K 75 RT   (1986-1994),7,1989,2,10153
81,K 75 S   (1987-1996),7,1989,2,5924
82,K 750   (1986-1999),7,1989,2,1761
83,R 100 GS   (1988-1993),7,1989,2,7308
84,R 100 GS PARIS DAKAR   (1989-1995),7,1989,2,7762
85,R 100 RS   (1987-1995),7,1989,2,6548
86,R 100 RT   (1978-1996),7,1989,2,4920
87,R 80 GS   (1986-1992),7,1989,2,8046
88,F 650   (1984-1996),7,1990,2,7318
89,K 1   (1989-1994),7,1990,2,5376
90,K 100   (1983-1994),7,1990,2,6706
91,K 100 LT   (1986-1994),7,1990,2,2347
92,K 100 LT ABS   (1990-1992),7,1990,2,4111
93,K 100 RS   (1984-1994),7,1990,2,6630
94,K 100 RS ABS   (1988-1993),7,1990,2,3142
95,K 100 RT   (1984-1993),7,1990,2,9425
96,K 75   (1984-1996),7,1990,2,5770
97,K 75 RT   (1986-1994),7,1990,2,6100
98,K 75 S   (1987-1996),7,1990,2,8179
99,K 750   (1986-1999),7,1990,2,2382
100,R 100 GS   (1988-1993),7,1990,2,9363
101,R 100 GS PARIS DAKAR   (1989-1995),7,1990,2,2193
102,R 100 RS   (1987-1995),7,1990,2,2194
103,R 100 RT   (1978-1996),7,1990,2,3624
104,R 80 GS   (1986-1992),7,1990,2,4646
105,F 650   (1984-1996),7,1991,2,10065
106,K 1   (1989-1994),7,1991,2,6910
107,K 100   (1983-1994),7,1991,2,4475
108,K 100 Baviera   (1991),7,1991,2,3015
109,K 100 LT   (1986-1994),7,1991,2,10751
110,K 100 LT ABS   (1990-1992),7,1991,2,8957
111,K 100 LT Limited Edition   (1991-1994),7,1991,2,7925
112,K 100 RS   (1984-1994),7,1991,2,4719
113,K 100 RS ABS   (1988-1993),7,1991,2,9279
114,K 100 RT   (1984-1993),7,1991,2,10679
115,K 75   (1984-1996),7,1991,2,4046
116,K 75 RT   (1986-1994),7,1991,2,8692
117,K 75 S   (1987-1996),7,1991,2,5200
118,K 75 S ABS   (1991-1994),7,1991,2,2286
119,K 750   (1986-1999),7,1991,2,9537
120,R 100 GS   (1988-1993),7,1991,2,5163
121,R 100 GS PARIS DAKAR   (1989-1995),7,1991,2,6024
122,R 100 RS   (1987-1995),7,1991,2,7150
123,R 100 RT   (1978-1996),7,1991,2,7301
124,R 80 GS   (1986-1992),7,1991,2,3809
125,F 650   (1984-1996),7,1992,2,6702
126,K 1   (1989-1994),7,1992,2,1995
127,K 100   (1983-1994),7,1992,2,6371
128,K 100 LT   (1986-1994),7,1992,2,10789
129,K 100 LT ABS   (1990-1992),7,1992,2,8888
130,K 100 LT Limited Edition   (1991-1994),7,1992,2,10223
131,K 100 RS   (1984-1994),7,1992,2,4727
132,K 100 RS ABS   (1988-1993),7,1992,2,1651
133,K 100 RT   (1984-1993),7,1992,2,5317
134,K 75   (1984-1996),7,1992,2,2851
135,K 75 Metropolitan   (1992-1993),7,1992,2,5558
136,K 75 Metropolitan ABS   (1992-1995),7,1992,2,6412
137,K 75 RT   (1986-1994),7,1992,2,5516
138,K 75 RT ABS   (1992-1993),7,1992,2,1749
139,K 75 S   (1987-1996),7,1992,2,6677
140,K 75 S ABS   (1991-1994),7,1992,2,9474
141,K 750   (1986-1999),7,1992,2,5608
142,R 100 GS   (1988-1993),7,1992,2,6221
143,R 100 GS PARIS DAKAR   (1989-1995),7,1992,2,4627
144,R 100 R   (1992-1999),7,1992,2,5960
145,R 100 RS   (1987-1995),7,1992,2,10482
146,R 100 RT   (1978-1996),7,1992,2,5687
147,R 1100 RT   (1992-1996),7,1992,2,1506
148,R 80 GS   (1986-1992),7,1992,2,1749
149,R 80 R   (1992-1996),7,1992,2,1860
150,R 80 RT   (1992),7,1992,2,9495
151,F 650   (1984-1996),7,1993,2,10594
152,F 650 ST   (1993),7,1993,2,8855
153,K 1   (1989-1994),7,1993,2,4415
154,K 100   (1983-1994),7,1993,2,10379
155,K 100 LT   (1986-1994),7,1993,2,9741
156,K 100 LT Limited Edition   (1991-1994),7,1993,2,4841
157,K 100 RS   (1984-1994),7,1993,2,7510
158,K 100 RS ABS   (1988-1993),7,1993,2,9951
159,K 100 RT   (1984-1993),7,1993,2,9387
160,K 1100 RS   (1993-1998),7,1993,2,2067
161,K 75   (1984-1996),7,1993,2,1593
162,K 75 Metropolitan   (1992-1993),7,1993,2,10548
163,K 75 Metropolitan ABS   (1992-1995),7,1993,2,1544
164,K 75 RT   (1986-1994),7,1993,2,10910
165,K 75 RT ABS   (1992-1993),7,1993,2,8917
166,K 75 S   (1987-1996),7,1993,2,9455
167,K 75 S ABS   (1991-1994),7,1993,2,4707
168,K 750   (1986-1999),7,1993,2,7179
169,R 100 GS   (1988-1993),7,1993,2,2042
170,R 100 GS PARIS DAKAR   (1989-1995),7,1993,2,2935
171,R 100 R   (1992-1999),7,1993,2,10089
172,R 100 RS   (1987-1995),7,1993,2,7004
173,R 100 RT   (1978-1996),7,1993,2,5634
174,R 1100 GS   (1993-1996),7,1993,2,1666
175,R 1100 RS   (1993-1995),7,1993,2,3427
176,R 1100 RS   (1993-1996),7,1993,2,5627
177,R 1100 RT   (1992-1996),7,1993,2,5839
178,R 80 R   (1992-1996),7,1993,2,10159
179,F 650   (1984-1996),7,1994,2,2110
180,K 1   (1989-1994),7,1994,2,10728
181,K 100   (1983-1994),7,1994,2,7476
182,K 100 LT   (1986-1994),7,1994,2,3315
183,K 100 LT Limited Edition   (1991-1994),7,1994,2,8178
184,K 100 RS   (1984-1994),7,1994,2,9150
185,K 1100 LT SE   (1994-1996),7,1994,2,5254
186,K 1100 RS   (1993-1998),7,1994,2,5403
187,K 75   (1984-1996),7,1994,2,8068
188,K 75 ABS   (1994-1996),7,1994,2,5045
189,K 75 Metropolitan ABS   (1992-1995),7,1994,2,8827
190,K 75 RT   (1986-1994),7,1994,2,4157
191,K 75 S   (1987-1996),7,1994,2,2597
192,K 75 S ABS   (1991-1994),7,1994,2,8834
193,K 750   (1986-1999),7,1994,2,7606
194,R 100 GS PARIS DAKAR   (1989-1995),7,1994,2,10903
195,R 100 R   (1992-1999),7,1994,2,10854
196,R 100 R Mystic   (1994-1996),7,1994,2,4652
197,R 100 RS   (1987-1995),7,1994,2,1812
198,R 100 RT   (1978-1996),7,1994,2,6809
199,R 1100 GS   (1993-1996),7,1994,2,8600
200,R 1100 RS   (1993-1995),7,1994,2,10950
201,R 1100 RS   (1993-1996),7,1994,2,3749
202,R 1100 RT   (1992-1996),7,1994,2,2477
203,R 1150 RS   (1994),7,1994,2,10030
204,R 80 R   (1992-1996),7,1994,2,6005
205,F 650   (1984-1996),7,1995,2,3233
206,K 1100 LT SE   (1994-1996),7,1995,2,5935
207,K 1100 RS   (1993-1998),7,1995,2,6734
208,K 75   (1984-1996),7,1995,2,8076
209,K 75 ABS   (1994-1996),7,1995,2,10935
210,K 75 LT   (1995),7,1995,2,2414
211,K 75 Metropolitan ABS   (1992-1995),7,1995,2,3345
212,K 75 S   (1987-1996),7,1995,2,10933
213,K 750   (1986-1999),7,1995,2,7435
214,R 100 GS PARIS DAKAR   (1989-1995),7,1995,2,3557
215,R 100 R   (1992-1999),7,1995,2,8866
216,R 100 R Mystic   (1994-1996),7,1995,2,2825
217,R 100 RS   (1987-1995),7,1995,2,10430
218,R 100 RT   (1978-1996),7,1995,2,5513
219,R 1100 GS   (1993-1996),7,1995,2,9259
220,R 1100 RS   (1993-1995),7,1995,2,7364
221,R 1100 RS   (1993-1996),7,1995,2,4648
222,R 1100 RS   (1995-1997),7,1995,2,4749
223,R 1100 RT   (1992-1996),7,1995,2,4531
224,R 80 R   (1992-1996),7,1995,2,6240
225,R 850   (1995),7,1995,2,4680
226,F 650   (1984-1996),7,1996,2,7886
227,F 650 G   (1996),7,1996,2,2272
228,K 1100 LT SE   (1994-1996),7,1996,2,3547
229,K 1100 RS   (1993-1998),7,1996,2,9187
230,K 75   (1984-1996),7,1996,2,3028
231,K 75 ABS   (1994-1996),7,1996,2,5783
232,K 75 S   (1987-1996),7,1996,2,5201
233,K 750   (1986-1999),7,1996,2,6574
234,R 100 GS PARIS DAKAR Classic   (1996-1998),7,1996,2,10805
235,R 100 R   (1992-1999),7,1996,2,10646
236,R 100 R Mystic   (1994-1996),7,1996,2,3680
237,R 100 RT   (1978-1996),7,1996,2,3879
238,R 1100 GS   (1993-1996),7,1996,2,9902
239,R 1100 RS   (1993-1996),7,1996,2,4808
240,R 1100 RS   (1995-1997),7,1996,2,4922
241,R 1100 RT   (1992-1996),7,1996,2,7329
242,R 1100 RT   (1996-2002),7,1996,2,10415
243,R 80 R   (1992-1996),7,1996,2,9090
244,R 850 R   (1996),7,1996,2,9693
245,F 650   (1997-2008),7,1997,2,6531
246,F 650 FL   (1997-2008),7,1997,2,8861
247,F 650 ST   (1997-2001),7,1997,2,5944
248,K 1100 LT   (1997-1999),7,1997,2,4857
249,K 1100 LT High Line   (1997-1999),7,1997,2,4385
250,K 1100 LT Sidecar   (1997-1999),7,1997,2,3056
251,K 1100 RS   (1993-1998),7,1997,2,2071
252,K 750   (1986-1999),7,1997,2,4438
